Ref,Val,Package,PosX,PosY,Rot,Side
C1,1u,C_0603_1608Metric,-160.761525,-80.18974,-135,bottom
C2,0.1u,C_0603_1608Metric,-164.701525,-87.57974,-135,bottom
C3,0.1u,C_0603_1608Metric,-154.861525,-91.88974,-45,bottom
C4,0.1u,C_0603_1608Metric,-150.381525,-84.73974,45,bottom
C5,0.1u,C_0603_1608Metric,-161.761525,-81.88974,45,bottom
C6,10u,C_0603_1608Metric,-154.408372,-79.992893,-135,bottom
C7,22p,C_0603_1608Metric,-163.9,-94.25,135,bottom
C8,22p,C_0603_1608Metric,-165.798008,-92.398008,135,bottom
D1,D_Small,D_SOD-123,-42.986525,-40.78349,90,bottom
D2,D_Small,D_SOD-123,-62.036525,-40.78349,90,bottom
D3,D_Small,D_SOD-123,-80.561525,-38.58974,90,bottom
D4,D_Small,D_SOD-123,-100.061525,-44.08974,78,bottom
D5,D_Small,D_SOD-123,-118.561525,-48.08974,78,bottom
D6,D_Small,D_SOD-123,-137.061525,-52.08974,78,bottom
D7,D_Small,D_SOD-123,-155.854579,-55.925796,78,bottom
D8,D_Small,D_SOD-123,-185.911525,-50.43974,102,bottom
D9,D_Small,D_SOD-123,-204.511525,-46.58974,102,bottom
D10,D_Small,D_SOD-123,-223.161525,-42.63974,102,bottom
D11,D_Small,D_SOD-123,-241.811525,-38.58974,102,bottom
D12,D_Small,D_SOD-123,-261.511525,-38.43974,90,bottom
D13,D_Small,D_SOD-123,-280.161525,-40.63974,90,bottom
D14,D_Small,D_SOD-123,-299.211525,-40.58974,90,bottom
D15,D_Small,D_SOD-123,-318.211525,-40.58974,90,bottom
D16,D_Small,D_SOD-123,-19.861525,-38.48974,90,bottom
D17,D_Small,D_SOD-123,-43.461525,-59.63974,90,bottom
D18,D_Small,D_SOD-123,-67.311525,-59.63974,90,bottom
D19,D_Small,D_SOD-123,-86.611525,-60.68974,78,bottom
D20,D_Small,D_SOD-123,-105.311525,-64.68974,78,bottom
D21,D_Small,D_SOD-123,-123.911525,-68.58974,78,bottom
D22,D_Small,D_SOD-123,-142.511525,-72.53974,78,bottom
D23,D_Small,D_SOD-123,-180.561525,-71.08974,102,bottom
D24,D_Small,D_SOD-123,-199.111525,-67.13974,102,bottom
D25,D_Small,D_SOD-123,-217.811525,-63.18974,102,bottom
D26,D_Small,D_SOD-123,-236.461525,-59.18974,102,bottom
D27,D_Small,D_SOD-123,-256.161525,-58.53974,90,bottom
