Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",-161.080000,-78.960000,45.000000,bottom
"C2","0.1u","C_0603_1608Metric",-164.180000,-88.560000,-135.000000,bottom
"C3","0.1u","C_0603_1608Metric",-153.450000,-94.230000,-45.000000,bottom
"C4","0.1u","C_0603_1608Metric",-146.670000,-83.300000,45.000000,bottom
"C5","0.1u","C_0603_1608Metric",-162.150000,-80.030000,45.000000,bottom
"C6","10u","C_0603_1608Metric",-153.020000,-76.890000,-135.000000,bottom
"C7","22p","C_0603_1608Metric",-163.760000,-95.120000,135.000000,bottom
"C8","22p","C_0603_1608Metric",-165.380000,-93.510000,135.000000,bottom
"D1","D_Small","D_SOD-123",-42.986525,-40.783490,90.000000,bottom
"D2","D_Small","D_SOD-123",-62.036525,-40.783490,90.000000,bottom
"D3","D_Small","D_SOD-123",-80.561525,-38.589740,90.000000,bottom
"D4","D_Small","D_SOD-123",-100.061525,-44.089740,78.000000,bottom
"D5","D_Small","D_SOD-123",-118.561525,-48.089740,78.000000,bottom
"D6","D_Small","D_SOD-123",-137.061525,-52.089740,78.000000,bottom
"D7","D_Small","D_SOD-123",-155.854579,-55.925796,78.000000,bottom
"D8","D_Small","D_SOD-123",-185.911525,-50.439740,102.000000,bottom
"D9","D_Small","D_SOD-123",-204.511525,-46.589740,102.000000,bottom
"D10","D_Small","D_SOD-123",-223.161525,-42.639740,102.000000,bottom
"D11","D_Small","D_SOD-123",-241.811525,-38.589740,102.000000,bottom
"D12","D_Small","D_SOD-123",-261.511525,-38.439740,90.000000,bottom
"D13","D_Small","D_SOD-123",-280.161525,-40.639740,90.000000,bottom
"D14","D_Small","D_SOD-123",-307.600000,-42.200000,90.000000,bottom
"D16","D_Small","D_SOD-123",-19.861525,-38.489740,90.000000,bottom
"D17","D_Small","D_SOD-123",-43.461525,-59.639740,90.000000,bottom
"D18","D_Small","D_SOD-123",-67.311525,-59.639740,90.000000,bottom
"D19","D_Small","D_SOD-123",-86.611525,-60.689740,78.000000,bottom
"D20","D_Small","D_SOD-123",-105.311525,-64.689740,78.000000,bottom
"D21","D_Small","D_SOD-123",-123.911525,-68.589740,78.000000,bottom
"D22","D_Small","D_SOD-123",-142.511525,-72.539740,78.000000,bottom
"D23","D_Small","D_SOD-123",-180.561525,-71.089740,102.000000,bottom
"D24","D_Small","D_SOD-123",-199.111525,-67.139740,102.000000,bottom
"D25","D_Small","D_SOD-123",-217.811525,-63.189740,102.000000,bottom
"D26","D_Small","D_SOD-123",-236.461525,-59.189740,102.000000,bottom
"D27","D_Small","D_SOD-123",-256.161525,-58.539740,90.000000,bottom
"D28","D_Small","D_SOD-123",-274.761525,-59.639740,90.000000,bottom
"D29","D_Small","D_SOD-123",-293.861525,-59.639740,90.000000,bottom
"D30","D_Small","D_SOD-123",-317.661525,-59.639740,90.000000,bottom
"D31","D_Small","D_SOD-123",-15.711525,-57.489740,90.000000,bottom
"D32","D_Small","D_SOD-123",-41.811525,-78.689740,90.000000,bottom
"D33","D_Small","D_SOD-123",-68.011525,-78.689740,90.000000,bottom
"D34","D_Small","D_SOD-123",-87.311525,-80.339740,78.000000,bottom
"D35","D_Small","D_SOD-123",-105.961525,-84.289740,78.000000,bottom
"D36","D_Small","D_SOD-123",-124.561525,-88.239740,78.000000,bottom
"D37","D_Small","D_SOD-123",-143.211525,-92.189740,78.000000,bottom
"D38","D_Small","D_SOD-123",-189.111525,-88.739740,102.000000,bottom
"D39","D_Small","D_SOD-123",-207.811525,-84.789740,102.000000,bottom
"D40","D_Small","D_SOD-123",-226.461525,-80.839740,102.000000,bottom
"D41","D_Small","D_SOD-123",-245.061525,-76.839740,102.000000,bottom
"D42","D_Small","D_SOD-123",-264.811525,-78.689740,90.000000,bottom
"D43","D_Small","D_SOD-123",-283.811525,-78.689740,90.000000,bottom
"D44","D_Small","D_SOD-123",-314.761525,-78.689740,90.000000,bottom
"D45","D_Small","D_SOD-123",-11.611525,-76.539740,90.000000,bottom
"D46","D_Small","D_SOD-123",-46.100000,-94.600000,90.000000,bottom
"D47","D_Small","D_SOD-123",-73.311525,-97.739740,90.000000,bottom
"D48","D_Small","D_SOD-123",-92.661525,-100.939740,78.000000,bottom
"D49","D_Small","D_SOD-123",-111.311525,-104.839740,78.000000,bottom
"D50","D_Small","D_SOD-123",-129.911525,-108.839740,78.000000,bottom
"D51","D_Small","D_SOD-123",-148.611525,-112.789740,78.000000,bottom
"D52","D_Small","D_SOD-123",-183.861525,-109.339740,102.000000,bottom
"D53","D_Small","D_SOD-123",-202.461525,-105.389740,102.000000,bottom
"D54","D_Small","D_SOD-123",-221.061525,-101.439740,102.000000,bottom
"D55","D_Small","D_SOD-123",-239.711525,-97.439740,102.000000,bottom
"D56","D_Small","D_SOD-123",-259.411525,-97.639740,90.000000,bottom
"D57","D_Small","D_SOD-123",-278.511525,-97.639740,90.000000,bottom
"D58","D_Small","D_SOD-123",-306.600000,-97.639740,90.000000,bottom
