Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric,-161.08,-78.96,45,bottom
C2,0.1u,C_0603_1608Metric,-164.18,-88.56,-135,bottom
C3,0.1u,C_0603_1608Metric,-153.45,-94.23,-45,bottom
C4,0.1u,C_0603_1608Metric,-146.67,-83.3,45,bottom
C5,0.1u,C_0603_1608Metric,-162.15,-80.03,45,bottom
C6,10u,C_0603_1608Metric,-153.02,-76.89,-135,bottom
C7,22p,C_0603_1608Metric,-163.76,-95.12,135,bottom
C8,22p,C_0603_1608Metric,-165.38,-93.51,135,bottom
D1,D_Small,D_SOD-123,-42.986525,-40.78349,90,bottom
D2,D_Small,D_SOD-123,-62.036525,-40.78349,90,bottom
D3,D_Small,D_SOD-123,-80.561525,-38.58974,90,bottom
D4,D_Small,D_SOD-123,-100.061525,-44.08974,78,bottom
D5,D_Small,D_SOD-123,-118.561525,-48.08974,78,bottom
D6,D_Small,D_SOD-123,-137.061525,-52.08974,78,bottom
D7,D_Small,D_SOD-123,-155.854579,-55.925796,78,bottom
D8,D_Small,D_SOD-123,-185.911525,-50.43974,102,bottom
D9,D_Small,D_SOD-123,-204.511525,-46.58974,102,bottom
D10,D_Small,D_SOD-123,-223.161525,-42.63974,102,bottom
D11,D_Small,D_SOD-123,-241.811525,-38.58974,102,bottom
D12,D_Small,D_SOD-123,-261.511525,-38.43974,90,bottom
D13,D_Small,D_SOD-123,-280.161525,-40.63974,90,bottom
D14,D_Small,D_SOD-123,-307.6,-42.2,90,bottom
D16,D_Small,D_SOD-123,-19.861525,-38.48974,90,bottom
D17,D_Small,D_SOD-123,-43.461525,-59.63974,90,bottom
D18,D_Small,D_SOD-123,-67.311525,-59.63974,90,bottom
D19,D_Small,D_SOD-123,-86.611525,-60.68974,78,bottom
D20,D_Small,D_SOD-123,-105.311525,-64.68974,78,bottom
D21,D_Small,D_SOD-123,-123.911525,-68.58974,78,bottom
D22,D_Small,D_SOD-123,-142.511525,-72.53974,78,bottom
D23,D_Small,D_SOD-123,-180.561525,-71.08974,102,bottom
D24,D_Small,D_SOD-123,-199.111525,-67.13974,102,bottom
D25,D_Small,D_SOD-123,-217.811525,-63.18974,102,bottom
D26,D_Small,D_SOD-123,-236.461525,-59.18974,102,bottom
D27,D_Small,D_SOD-123,-256.161525,-58.53974,90,bottom
D28,D_Small,D_SOD-123,-274.761525,-59.63974,90,bottom
D29,D_Small,D_SOD-123,-293.861525,-59.63974,90,bottom
D30,D_Small,D_SOD-123,-317.661525,-59.63974,90,bottom
D31,D_Small,D_SOD-123,-15.711525,-57.48974,90,bottom
D32,D_Small,D_SOD-123,-41.811525,-78.68974,90,bottom
D33,D_Small,D_SOD-123,-68.011525,-78.68974,90,bottom
D34,D_Small,D_SOD-123,-87.311525,-80.33974,78,bottom
D35,D_Small,D_SOD-123,-105.961525,-84.28974,78,bottom
D36,D_Small,D_SOD-123,-124.561525,-88.23974,78,bottom
D37,D_Small,D_SOD-123,-143.211525,-92.18974,78,bottom
D38,D_Small,D_SOD-123,-189.111525,-88.73974,102,bottom
D39,D_Small,D_SOD-123,-207.811525,-84.78974,102,bottom
D40,D_Small,D_SOD-123,-226.461525,-80.83974,102,bottom
D41,D_Small,D_SOD-123,-245.061525,-76.83974,102,bottom
D42,D_Small,D_SOD-123,-264.811525,-78.68974,90,bottom
D43,D_Small,D_SOD-123,-283.811525,-78.68974,90,bottom
D44,D_Small,D_SOD-123,-314.761525,-78.68974,90,bottom
D45,D_Small,D_SOD-123,-11.611525,-76.53974,90,bottom
D46,D_Small,D_SOD-123,-46.1,-94.6,90,bottom
D47,D_Small,D_SOD-123,-73.311525,-97.73974,90,bottom
D48,D_Small,D_SOD-123,-92.661525,-100.93974,78,bottom
D49,D_Small,D_SOD-123,-111.311525,-104.83974,78,bottom
D50,D_Small,D_SOD-123,-129.911525,-108.83974,78,bottom
D51,D_Small,D_SOD-123,-148.611525,-112.78974,78,bottom
D52,D_Small,D_SOD-123,-183.861525,-109.33974,102,bottom
D53,D_Small,D_SOD-123,-202.461525,-105.38974,102,bottom
D54,D_Small,D_SOD-123,-221.061525,-101.43974,102,bottom
D55,D_Small,D_SOD-123,-239.711525,-97.43974,102,bottom
D56,D_Small,D_SOD-123,-259.411525,-97.63974,90,bottom
D57,D_Small,D_SOD-123,-278.511525,-97.63974,90,bottom
D58,D_Small,D_SOD-123,-306.6,-97.63974,90,bottom
D59,D_Small,D_SOD-123,-328.911525,-97.73974,90,bottom
D60,D_Small,D_SOD-123,-35.211525,-116.78974,90,bottom
D62,D_Small,D_SOD-123,-87.886525,-120.91474,78,bottom
D63,D_Small,D_SOD-123,-121.111525,-126.43974,78,bottom
D64,D_Small,D_SOD-123,-153.686525,-133.38974,78,bottom
D65,D_Small,D_SOD-123,-204.111525,-124.51474,102,bottom
D66,D_Small,D_SOD-123,-244.536525,-117.46474,102,bottom
D67,D_Small,D_SOD-123,-322.411525,-116.83974,90,bottom
D68,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-179.15,-31.725,180,bottom
D69,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-222.675,-28.5,180,bottom
D70,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-283.175,-28.4,180,bottom
D71,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-318.75,-33.825,90,bottom
D72,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-323.11,-59.12,90,bottom
D73,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-324.95,-79.51,90,bottom
D74,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-95.6,-117.7,0,bottom
D75,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-130.5,-123.5,180,bottom
D76,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-181.1,-126.3,0,bottom
D77,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-215.9,-119,0,bottom
D78,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-251.5,-114.1,0,bottom
D79,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-297.66,-110.32,0,bottom
D83,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-52.3,-111,0,bottom
D84,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-11.8,-108,0,bottom
D85,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-6.625,-88.55,-90,bottom
D86,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-21.4,-63.5,-90,bottom
D87,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-23.575,-28.9,0,bottom
D88,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-84.2,-28,180,bottom
D93,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-145.625,-30.5,180,bottom
D94,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-114.1,-29,180,bottom
F1,500m,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,-158.901525,-36.67974,90,bottom
R1,10k,R_0603_1608Metric,-146.38,-87.03,-45,bottom
R2,22,R_0603_1608Metric,-158.561525,-76.50224,-90,bottom
R3,22,R_0603_1608Metric,-160.161524,-76.50224,90,bottom
R4,5.1k,R_0603_1608Metric,-168.169112,-30.14974,0,bottom
R5,5.1k,R_0603_1608Metric,-157.294112,-30.14974,180,bottom
R6,10k,R_0603_1608Metric,-148.525,-70.25,180,bottom
SW1,SW_Push,SW_SPST_SKQG_WithStem,-153.075,-67.125,90,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,-155.23,-85.33,-135,bottom
U2,PRTR5V0U2X,SOT143B,-162.731612,-32.86474,180,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,-162.73,-17.4375,0,bottom
Y1,CLK,Crystal_SMD_3225-4Pin_3.2x2.5mm,-162.22,-92.04,45,bottom
